run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
677,1447,1160,0.10114622116088867,0,0,0,0,0,0,0,0,1113,1114,0,0,1360,1360,0,0,0,0,0,0,0,0,0,0.16891284815813118,0,0,0.72,0.7213235294117647
678,1477,1313,0.09437823295593262,0,0,634,635,0,0,0,0,0,0,0,0,1108,1107,0,0,0.81,0.8107255520504731,0,0,0,0,0,0,0,0,0,0.16877256317689532
679,1206,1192,0.10536360740661621,0,0,0,0,0,0,626,627,1206,1206,989,988,0,0,0,0,0,0,0,0,0.97,0.9744408945686901,0,0.1691542288557214,0,0.16885743174924167,0,0
680,1304,1062,0.05796408653259277,0,0,0,0,0,0,0,0,0,0,1304,1304,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8803680981595092,0,0
681,1484,1447,0.16060566902160645,1291,1291,0,0,1291,1291,0,0,638,638,1350,1350,0,0,0,0.16731216111541442,0,0,0,0.16731216111541442,0,0,0.71,0.7115987460815048,0,0.1688888888888889,0,0
682,1453,1175,0.06939101219177246,0,0,0,0,0,0,0,0,1453,1453,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.9807295251204404,0,0,0,0
683,1105,1452,0.0752713680267334,0,0,0,0,0,0,342,342,0,0,0,0,905,906,0,0,0,0,0,0,0,0.17543859649122806,0,0,0,0,0.76,0.7613259668508288
684,1486,1403,0.10596799850463867,1411,1411,0,0,1247,1248,519,520,0,0,0,0,0,0,0.86,0.8610914245216159,0,0,0,0.16760224538893345,0,0.16955684007707128,0,0,0,0,0,0
685,1263,1184,0.07411837577819824,0,0,594,593,1187,1187,0,0,619,618,0,0,0,0,0,0,0.86,0.8653198653198653,0.98,0.983150800336984,0,0,0,0.1680129240710824,0,0,0,0
686,1148,1381,0.06746411323547363,631,631,0,0,0,0,0,0,528,528,596,596,0,0,0.67,0.6719492868462758,0,0,0,0,0,0,0,0.16666666666666666,0,0.16778523489932887,0,0
