run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
677,1447,1160,0.14120960235595703,0,0,0,0,0,0,0,0,1113,1114,0,0,1360,1360,0,0,0,0,0,0,0,0,0,0.16711590296495957,0,0,0.72,0.7205882352941176
678,1477,1313,0.11506509780883789,0,0,635,635,0,0,0,0,0,0,0,0,1107,1107,0,0,0.81,0.8110236220472441,0,0,0,0,0,0,0,0,0,0.16802168021680217
679,1206,1192,0.12800049781799316,0,0,0,0,0,0,627,627,1206,1206,988,988,0,0,0,0,0,0,0,0,0.97,0.9712918660287081,0,0.16749585406301823,0,0.1680161943319838,0,0
680,1304,1062,0.06808996200561523,0,0,0,0,0,0,0,0,0,0,1304,1304,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8803680981595092,0,0
681,1484,1447,0.21340608596801758,1291,1291,0,0,1291,1291,0,0,638,638,1350,1350,0,0,0,0.16731216111541442,0,0,0,0.16731216111541442,0,0,0.71,0.7115987460815048,0,0.1674074074074074,0,0
682,1453,1175,0.08602309226989746,0,0,0,0,0,0,0,0,1453,1453,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.9807295251204404,0,0,0,0
683,1105,1452,0.09220337867736816,0,0,0,0,0,0,342,342,0,0,0,0,905,906,0,0,0,0,0,0,0,0.1695906432748538,0,0,0,0,0.76,0.7613259668508288
684,1486,1403,0.16599297523498535,1411,1411,0,0,1248,1248,520,520,0,0,0,0,0,0,0.86,0.8610914245216159,0,0,0,0.16666666666666666,0,0.16923076923076924,0,0,0,0,0,0
685,1263,1184,0.11200785636901855,0,0,593,593,1187,1187,0,0,619,618,0,0,0,0,0,0,0.86,0.8617200674536256,0.98,0.9814658803706824,0,0,0,0.1680129240710824,0,0,0,0
686,1148,1381,0.0837087631225586,631,631,0,0,0,0,0,0,528,528,596,596,0,0,0.67,0.6719492868462758,0,0,0,0,0,0,0,0.16666666666666666,0,0.16778523489932887,0,0
687,1389,1053,0.09904122352600098,0,0,0,0,0,0,0,0,0,0,1139,1138,555,555,0,0,0,0,0,0,0,0,0,0,0,0.16681299385425813,0.41,0.41081081081081083
688,1011,1238,0.06885218620300293,0,0,0,0,0,0,0,0,0,0,1011,1011,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5806132542037586,0,0
689,1348,1056,0.09359145164489746,0,0,0,0,0,0,0,0,0,0,0,0,1348,1348,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.841246290801187
690,1280,1213,0.16422200202941895,0,0,268,268,665,665,1216,1216,0,0,1241,1241,0,0,0,0,0.75,0.753731343283582,0.8,0.8015037593984963,0,0.16776315789473684,0,0,0.87,0.871071716357776,0,0
691,1278,1211,0.11560773849487305,0,0,0,0,830,830,0,0,0,0,0,0,1073,1073,0,0,0,0,0,0.1686746987951807,0,0,0,0,0,0,0.9,0.9012115563839702
692,1455,1357,0.24096155166625977,1411,1411,0,0,553,552,1411,1411,0,0,1251,1251,0,0,0.98,0.9801559177888023,0,0,0,0.16817359855334538,0,0.16725726435152374,0,0,0.55,0.5507593924860112,0,0
693,1215,1233,0.23604583740234375,801,801,1105,1105,1166,1166,595,595,692,692,887,886,583,583,0,0.16729088639200998,0,0.167420814479638,0.56,0.5608919382504288,0.91,0.9126050420168067,0.72,0.7210982658959537,0.91,0.9120631341600902,0,0.1680960548885077
694,1446,1111,0.08774662017822266,0,0,1446,1446,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.2710926694329184,0,0,0,0,0,0,0,0,0,0
695,1193,1073,0.07200193405151367,0,0,0,0,0,0,1193,1193,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.9413243922883487,0,0,0,0,0,0
696,1438,1197,0.12017273902893066,1092,1092,186,186,0,0,963,963,0,0,0,0,0,0,0,0.16666666666666666,0,0.17204301075268819,0,0,0.72,0.7217030114226376,0,0,0,0,0,0
697,1350,1268,0.08393168449401855,0,0,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.8607407407407407,0,0,0,0,0,0,0,0,0,0
698,1197,1069,0.0930640697479248,825,825,0,0,0,0,0,0,0,0,0,0,885,885,0.86,0.8618181818181818,0,0,0,0,0,0,0,0,0,0,0,0.1672316384180791
699,1372,1085,0.16607928276062012,0,0,740,740,850,850,0,0,1042,1042,0,0,727,727,0,0,0,0.16756756756756758,0,0.16705882352941176,0,0,0.9,0.9001919385796545,0,0,0.86,0.8624484181568088
700,1081,1289,0.18077921867370605,669,670,875,875,681,681,335,335,0,0,799,799,789,789,0,0.16741405082212257,0.89,0.8902857142857142,0,0.16740088105726872,0.9,0.9044776119402985,0,0,0,0.1677096370463079,0.86,0.8605830164765526
701,1224,1210,0.13906049728393555,440,440,722,722,587,587,795,795,783,783,0,0,0,0,0.89,0.8909090909090909,0,0.16897506925207756,0.28,0.282793867120954,0,0.16855345911949685,0,0.1685823754789272,0,0,0,0
702,1078,1420,0.12046337127685547,0,0,0,0,1067,1067,0,0,0,0,970,970,0,0,0,0,0,0,0,0.1668228678537957,0,0,0,0,0.2,0.2,0,0
703,1403,1304,0.32100486755371094,463,462,1066,1066,0,0,0,0,126,126,1388,1388,1318,1318,0,0.16846652267818574,0,0.1669793621013133,0,0,0,0,0,0.1746031746031746,0.86,0.8602305475504323,0,0.1669195751138088
704,1294,1103,0.2591593265533447,0,0,1074,1074,1112,1112,245,245,802,802,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0.17142857142857143,0,0.16708229426433915,0,0,0,0
705,1284,1338,0.23011350631713867,0,0,0,0,1040,1040,1014,1014,0,0,1271,1271,731,731,0,0,0,0,0,0.1673076923076923,0.39,0.3905325443786982,0,0,0.78,0.7812745869394178,0,0.16689466484268126
706,1246,1451,0.19206452369689941,0,0,37,37,0,0,1208,1208,0,0,0,0,872,872,0,0,0.91,0.9459459459459459,0,0,0,0.1672185430463576,0,0,0,0,0.75,0.75
707,1157,1470,0.1557142734527588,0,0,0,0,0,0,265,266,0,0,1122,1122,867,867,0,0,0,0,0,0,0,0.16981132075471697,0,0,0.82,0.820855614973262,0,0.16839677047289503
708,1217,1474,0.1260225772857666,304,304,85,85,0,0,0,0,1083,1083,0,0,0,0,0.95,0.9539473684210527,0,0.17647058823529413,0,0,0,0,0.95,0.9501385041551247,0,0,0,0
709,1352,1124,0.29743242263793945,1135,1135,0,0,0,0,513,513,1311,1311,540,540,581,581,0,0.16740088105726872,0,0,0,0,0,0.16764132553606237,0.7,0.7009916094584286,0.84,0.8407407407407408,0.71,0.7108433734939759
710,1372,1089,0.12267732620239258,0,0,576,576,0,0,0,0,795,795,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.95,0.9522012578616352,0,0,0,0
711,1380,1243,0.11765265464782715,0,0,0,0,0,0,0,0,1380,1380,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.9304347826086956,0,0,0,0
712,1204,1460,0.1723334789276123,0,0,0,0,0,0,252,252,903,903,638,638,0,0,0,0,0,0,0,0,0.97,0.9761904761904762,0,0.16832779623477298,0.6,0.6018808777429467,0,0
713,1213,1071,0.2524700164794922,1152,1152,0,0,607,606,0,0,1091,1091,873,873,0,0,0.99,0.9913194444444444,0,0,0,0.16803953871499178,0,0,0.97,0.9706691109074244,0,0.1672394043528064,0,0
714,1157,1231,0.17408347129821777,0,0,531,532,0,0,277,277,0,0,937,937,1075,1076,0,0,0,0.1694915254237288,0,0,0,0.16967509025270758,0,0,0,0.16755602988260407,1.0,1.0
715,1011,1053,0.142256498336792,0,0,0,0,414,414,393,394,585,586,404,404,607,606,0,0,0,0,0,0.16908212560386474,0.86,0.8625954198473282,0,0.1675213675213675,0,0.16831683168316833,0,0.16803953871499178
716,1339,1361,0.13294553756713867,0,0,388,388,0,0,0,0,0,0,0,0,950,950,0,0,0,0.17010309278350516,0,0,0,0,0,0,0,0,0.83,0.8315789473684211
717,1030,1031,0.11499857902526855,968,968,0,0,638,638,0,0,0,0,0,0,247,247,0,0.16735537190082644,0,0,0.69,0.6927899686520376,0,0,0,0,0,0,0,0.1700404858299595
718,1383,1031,0.191009521484375,1355,1355,138,138,0,0,0,0,1313,1313,207,207,0,0,0,0.16678966789667896,0.48,0.4927536231884058,0,0,0,0,0.95,0.9512566641279513,0.79,0.7971014492753623,0,0
719,1030,1408,0.11299681663513184,0,0,61,61,0,0,0,0,988,988,0,0,0,0,0,0,0.95,0.9672131147540983,0,0,0,0,0.99,0.9919028340080972,0,0,0,0
720,1252,1125,0.3114907741546631,0,0,513,513,1151,1151,0,0,0,0,1026,1026,1226,1226,0,0,0.32,0.3216374269005848,0.24,0.24066029539530842,0,0,0,0,0,0.16764132553606237,0,0.16802610114192496
721,1166,1297,0.21939992904663086,0,0,722,722,0,0,0,0,1072,1072,431,431,1084,1084,0,0,0.63,0.631578947368421,0,0,0,0,0,0.16791044776119404,0.82,0.8236658932714617,0.34,0.3413284132841328
722,1227,1473,0.1269998550415039,0,0,0,0,0,0,0,0,0,0,1227,1227,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5810920945395273,0,0
723,1124,1191,0.2111067771911621,674,674,460,460,0,0,0,0,415,415,0,0,1124,1124,0.92,0.9228486646884273,0.99,0.991304347826087,0,0,0,0,0,0.1686746987951807,0,0,0,0.16725978647686832
724,1053,1118,0.11795186996459961,0,0,189,189,569,568,0,0,42,42,737,737,0,0,0,0,0.36,0.36507936507936506,0,0.1687170474516696,0,0,0.98,1.0,0,0.16824966078697423,0,0
725,1258,1187,0.3520946502685547,918,918,1081,1081,0,0,993,993,465,465,0,0,1169,1169,1.0,1.0,0.99,0.9907493061979649,0,0,1.0,1.0,0,0.16774193548387098,0,0,0,0.16766467065868262
726,1093,1228,0.14934206008911133,819,819,765,765,688,688,0,0,787,786,0,0,0,0,0,0.1684981684981685,0.57,0.5712418300653594,0.89,0.8924418604651163,0,0,0.65,0.6518424396442185,0,0,0,0
727,1414,1462,0.30181384086608887,989,989,1131,1131,1385,1385,0,0,0,0,0,0,0,0,0.75,0.7512639029322548,0,0.16799292661361626,0,0.16750902527075812,0,0,0,0,0,0,0,0
728,1324,1043,0.11084818840026855,0,0,0,0,0,0,1324,1324,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.8202416918429003,0,0,0,0,0,0
729,1304,1480,0.4054105281829834,1173,1173,1290,1290,0,0,0,0,1108,1108,938,938,730,730,0,0.16709292412617222,0.5,0.5007751937984496,0,0,0,0,0.61,0.6101083032490975,0,0.16844349680170576,0.27,0.27123287671232876
730,1077,1107,0.09199833869934082,505,506,0,0,0,0,0,0,0,0,463,463,323,323,0.98,0.9801980198019802,0,0,0,0,0,0,0,0,0,0.16846652267818574,0,0.16718266253869968
731,1167,1366,0.24046730995178223,0,0,571,571,583,583,443,443,0,0,0,0,945,945,0,0,0,0.1681260945709282,0,0.1680960548885077,0.78,0.7832957110609481,0,0,0,0,0.78,0.780952380952381
732,1191,1209,0.35468387603759766,0,0,953,952,715,714,643,643,0,0,1000,1000,703,702,0,0,0,0.16789087093389296,0.75,0.7510489510489511,0,0.16796267496111975,0,0,0,0.168,0,0.1678520625889047
733,1097,1372,0.1463310718536377,0,0,0,0,0,0,0,0,0,0,1097,1097,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.6408386508659982,0,0
734,1199,1278,0.23773455619812012,0,0,143,143,1187,1187,1079,1079,1175,1175,0,0,0,0,0,0,0.61,0.6153846153846154,0,0.16680707666385847,0,0.16682113067655235,0,0.16680851063829788,0,0,0,0
735,1339,1190,0.1470625400543213,0,0,870,870,0,0,0,0,0,0,521,522,0,0,0,0,0.97,0.9701149425287356,0,0,0,0,0,0,0,0.1689059500959693,0,0
736,1248,1396,0.15894198417663574,0,0,0,0,848,848,0,0,1073,1073,0,0,0,0,0,0,0,0,0,0.16745283018867924,0,0,0.48,0.4808946877912395,0,0,0,0
