run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
677,1447,1160,0.0918424129486084,0,0,0,0,0,0,0,0,1114,1114,0,0,1360,1360,0,0,0,0,0,0,0,0,0,0.16786355475763015,0,0,0.72,0.7220588235294118
678,1477,1313,0.0963289737701416,0,0,635,635,0,0,0,0,0,0,0,0,1108,1107,0,0,0.81,0.8141732283464567,0,0,0,0,0,0,0,0,0,0.16787003610108303
679,1206,1192,0.07252025604248047,0,0,0,0,0,0,627,627,1206,1206,988,988,0,0,0,0,0,0,0,0,0.97,0.9712918660287081,0,0.1691542288557214,0,0.1700404858299595,0,0
680,1304,1062,0.04600024223327637,0,0,0,0,0,0,0,0,0,0,1304,1304,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8803680981595092,0,0
681,1484,1447,0.1079413890838623,1291,1291,0,0,1291,1291,0,0,638,638,1350,1350,0,0,0,0.16731216111541442,0,0,0,0.16731216111541442,0,0,0.71,0.7147335423197492,0,0.1688888888888889,0,0
682,1453,1175,0.05400228500366211,0,0,0,0,0,0,0,0,1453,1453,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.9834824501032347,0,0,0,0
683,1105,1452,0.0720524787902832,0,0,0,0,0,0,343,342,0,0,0,0,906,906,0,0,0,0,0,0,0,0.1749271137026239,0,0,0,0,0.76,0.7615894039735099
684,1486,1403,0.08489537239074707,1411,1411,0,0,1247,1248,520,520,0,0,0,0,0,0,0.86,0.8618001417434443,0,0,0,0.16840417000801924,0,0.17307692307692307,0,0,0,0,0,0
685,1263,1184,0.0705876350402832,0,0,593,593,1187,1187,0,0,619,618,0,0,0,0,0,0,0.86,0.866779089376054,0.98,0.9848357203032856,0,0,0,0.172859450726979,0,0,0,0
686,1148,1381,0.06005597114562988,632,631,0,0,0,0,0,0,528,528,596,596,0,0,0.67,0.6772151898734177,0,0,0,0,0,0,0,0.17045454545454544,0,0.17114093959731544,0,0
687,1389,1053,0.06601810455322266,0,0,0,0,0,0,0,0,0,0,1138,1138,555,555,0,0,0,0,0,0,0,0,0,0,0,0.1687170474516696,0.41,0.41621621621621624
688,1011,1238,0.04824399948120117,0,0,0,0,0,0,0,0,0,0,1011,1011,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5845697329376854,0,0
689,1348,1056,0.070068359375,0,0,0,0,0,0,0,0,0,0,0,0,1348,1348,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.841246290801187
690,1280,1213,0.08106589317321777,0,0,268,268,665,665,1215,1216,0,0,1241,1241,0,0,0,0,0.75,0.753731343283582,0.8,0.8015037593984963,0,0.16790123456790124,0,0,0.87,0.8726833199033038,0,0
691,1278,1211,0.07606816291809082,0,0,0,0,830,830,0,0,0,0,0,0,1073,1073,0,0,0,0,0,0.1686746987951807,0,0,0,0,0,0,0.9,0.9049394221808015
692,1455,1357,0.11775708198547363,1411,1411,0,0,553,552,1411,1411,0,0,1251,1251,0,0,0.98,0.9829907866761163,0,0,0,0.1735985533453888,0,0.1686746987951807,0,0,0.55,0.5515587529976019,0,0
693,1215,1233,0.117767333984375,801,801,1105,1105,1166,1166,595,595,693,692,886,886,583,583,0,0.17228464419475656,0,0.16832579185520363,0.56,0.5634648370497427,0.91,0.9159663865546218,0.72,0.7229437229437229,0.91,0.9119638826185101,0,0.1732418524871355
694,1446,1111,0.052001953125,0,0,1446,1446,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27385892116182575,0,0,0,0,0,0,0,0,0,0
695,1193,1073,0.05653524398803711,0,0,0,0,0,0,1193,1193,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.9446772841575859,0,0,0,0,0,0
696,1438,1197,0.06870627403259277,1092,1092,187,186,0,0,964,963,0,0,0,0,0,0,0,0.17032967032967034,0,0.1925133689839572,0,0,0.72,0.7219917012448133,0,0,0,0,0,0
697,1350,1268,0.05394291877746582,0,0,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.8622222222222222,0,0,0,0,0,0,0,0,0,0
698,1197,1069,0.06608319282531738,825,825,0,0,0,0,0,0,0,0,0,0,885,885,0.86,0.8618181818181818,0,0,0,0,0,0,0,0,0,0,0,0.1694915254237288
699,1372,1085,0.09102201461791992,0,0,741,740,850,850,0,0,1042,1042,0,0,727,727,0,0,0,0.1700404858299595,0,0.16941176470588235,0,0,0.9,0.9021113243761996,0,0,0.86,0.8651994497936726
700,1081,1289,0.10225391387939453,670,670,875,875,680,681,334,335,0,0,799,799,788,789,0,0.1701492537313433,0.89,0.8925714285714286,0,0.1676470588235294,0.9,0.9101796407185628,0,0,0,0.17271589486858574,0.86,0.8629441624365483
701,1224,1210,0.08481097221374512,440,440,722,722,587,587,795,795,783,783,0,0,0,0,0.89,0.8909090909090909,0,0.16897506925207756,0.28,0.28620102214650767,0,0.16981132075471697,0,0.1685823754789272,0,0,0,0
702,1078,1420,0.10406875610351562,0,0,0,0,1067,1067,0,0,0,0,970,970,0,0,0,0,0,0,0,0.16869728209934395,0,0,0,0,0.2,0.20412371134020618,0,0
703,1403,1304,0.1519150733947754,462,462,1067,1066,0,0,0,0,125,126,1388,1388,1319,1318,0,0.16883116883116883,0,0.16869728209934395,0,0,0,0,0,0.192,0.86,0.861671469740634,0,0.1683093252463988
704,1294,1103,0.13695549964904785,0,0,1073,1074,1113,1112,245,245,802,802,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0.17142857142857143,0,0.17206982543640897,0,0,0,0
705,1284,1338,0.12208104133605957,0,0,0,0,1040,1040,1014,1014,0,0,1271,1271,731,731,0,0,0,0,0,0.1673076923076923,0.39,0.3905325443786982,0,0,0.78,0.7828481510621558,0,0.17236662106703146
706,1246,1451,0.10629582405090332,0,0,37,37,0,0,1208,1208,0,0,0,0,872,872,0,0,0.91,1.0,0,0,0,0.16887417218543047,0,0,0,0,0.75,0.7522935779816514
707,1157,1470,0.13099050521850586,0,0,0,0,0,0,266,266,0,0,1122,1122,868,867,0,0,0,0,0,0,0,0.18045112781954886,0,0,0.82,0.8235294117647058,0,0.17050691244239632
708,1217,1474,0.0729823112487793,304,304,85,85,0,0,0,0,1083,1083,0,0,0,0,0.95,0.9605263157894737,0,0.21176470588235294,0,0,0,0,0.95,0.951061865189289,0,0,0,0
709,1352,1124,0.14200282096862793,1136,1135,0,0,0,0,513,513,1311,1311,542,540,581,581,0,0.16901408450704225,0,0,0,0,0,0.17543859649122806,0.7,0.7017543859649122,0.84,0.8450184501845018,0.71,0.7142857142857143
710,1372,1089,0.07331538200378418,0,0,575,576,0,0,0,0,796,795,0,0,0,0,0,0,0,0.16869565217391305,0,0,0,0,0.95,0.9547738693467337,0,0,0,0
711,1380,1243,0.04799795150756836,0,0,0,0,0,0,0,0,1380,1380,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.9304347826086956,0,0,0,0
712,1204,1460,0.09400820732116699,0,0,0,0,0,0,253,252,904,903,639,638,0,0,0,0,0,0,0,0,0.97,0.9762845849802372,0,0.17035398230088494,0.6,0.6056338028169014,0,0
713,1213,1071,0.14366436004638672,1152,1152,0,0,607,606,0,0,1091,1091,872,873,0,0,0.99,0.9947916666666666,0,0,0,0.16803953871499178,0,0,0.97,0.9725022914757103,0,0.1720183486238532,0,0
714,1157,1231,0.09706568717956543,0,0,532,532,0,0,277,277,0,0,936,937,1075,1076,0,0,0,0.16917293233082706,0,0,0,0.17328519855595667,0,0,0,0.16773504273504272,1.0,1.0
715,1011,1053,0.06999897956848145,0,0,0,0,414,414,393,394,585,586,405,404,606,606,0,0,0,0,0,0.17391304347826086,0.86,0.8625954198473282,0,0.17435897435897435,0,0.17777777777777778,0,0.16831683168316833
716,1339,1361,0.12099432945251465,0,0,388,388,0,0,0,0,0,0,0,0,949,950,0,0,0,0.17010309278350516,0,0,0,0,0,0,0,0,0.83,0.8345626975763962
717,1030,1031,0.06796050071716309,968,968,0,0,639,638,0,0,0,0,0,0,247,247,0,0.16735537190082644,0,0,0.69,0.6948356807511737,0,0,0,0,0,0,0,0.1700404858299595
718,1383,1031,0.09610247611999512,1355,1355,138,138,0,0,0,0,1313,1313,207,207,0,0,0,0.16826568265682657,0.48,0.5217391304347826,0,0,0,0,0.95,0.9527798933739527,0.79,0.7971014492753623,0,0
719,1030,1408,0.05199146270751953,0,0,61,61,0,0,0,0,988,988,0,0,0,0,0,0,0.95,1.0,0,0,0,0,0.99,0.9939271255060729,0,0,0,0
720,1252,1125,0.11605095863342285,0,0,514,513,1151,1151,0,0,0,0,1026,1026,1227,1226,0,0,0.32,0.32684824902723736,0.24,0.24326672458731538,0,0,0,0,0,0.1695906432748538,0,0.16951915240423798
721,1166,1297,0.10605335235595703,0,0,722,722,0,0,0,0,1072,1072,430,431,1084,1084,0,0,0.63,0.6343490304709142,0,0,0,0,0,0.16791044776119404,0.82,0.8325581395348837,0.34,0.34317343173431736
722,1227,1473,0.06566143035888672,0,0,0,0,0,0,0,0,0,0,1227,1227,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5819070904645477,0,0
723,1124,1191,0.10597562789916992,674,674,460,460,0,0,0,0,416,415,0,0,1124,1124,0.92,0.9258160237388724,0.99,1.0,0,0,0,0,0,0.17307692307692307,0,0,0,0.1708185053380783
724,1053,1118,0.0479280948638916,0,0,189,189,567,568,0,0,42,42,736,737,0,0,0,0,0.36,0.38095238095238093,0,0.1693121693121693,0,0,0.98,1.0,0,0.17119565217391305,0,0
725,1258,1187,0.11597585678100586,917,918,1081,1081,0,0,994,993,466,465,0,0,1169,1169,1.0,1.0,0.99,0.9944495837187789,0,0,1.0,1.0,0,0.16738197424892703,0,0,0,0.16937553464499572
726,1093,1228,0.06797480583190918,820,819,764,765,688,688,0,0,787,786,0,0,0,0,0,0.16829268292682928,0.57,0.5732984293193717,0.89,0.8953488372093024,0,0,0.65,0.6556543837357052,0,0,0,0
727,1414,1462,0.1323845386505127,989,989,1132,1131,1385,1385,0,0,0,0,0,0,0,0,0.75,0.7512639029322548,0,0.1696113074204947,0,0.16895306859205775,0,0,0,0,0,0,0,0
728,1324,1043,0.0717015266418457,0,0,0,0,0,0,1324,1324,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.823262839879154,0,0,0,0,0,0
729,1304,1480,0.1558065414428711,1173,1173,1290,1290,0,0,0,0,1107,1108,938,938,729,730,0,0.16879795396419436,0.5,0.5007751937984496,0,0,0,0,0.61,0.6133694670280037,0,0.16844349680170576,0.27,0.2716049382716049
730,1077,1107,0.0580599308013916,507,506,0,0,0,0,0,0,0,0,463,463,322,323,0.98,0.9881656804733728,0,0,0,0,0,0,0,0,0,0.16846652267818574,0,0.16770186335403728
731,1167,1366,0.09598898887634277,0,0,573,571,585,583,442,443,0,0,0,0,945,945,0,0,0,0.16753926701570682,0,0.17435897435897435,0.78,0.7828054298642534,0,0,0,0,0.78,0.7841269841269841
732,1191,1209,0.13883185386657715,0,0,952,952,714,714,643,643,0,0,999,1000,702,702,0,0,0,0.17016806722689076,0.75,0.7535014005602241,0,0.16796267496111975,0,0,0,0.16816816816816818,0,0.17094017094017094
