run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
1700,1059,1492,0.43903017044067383,709,709,0,0,540,540,0,0,836,836,730,730,1016,1016,0,0.16784203102961917,0,0,0.65,0.65,0,0,0,0.1674641148325359,0.64,0.6410958904109589,0,0.1673228346456693
1701,1108,1363,0.37199902534484863,0,0,554,554,354,354,44,44,952,952,631,631,0,0,0,0,0.71,0.7111913357400722,0,0.16666666666666666,0,0.18181818181818182,0,0.16701680672268907,0,0.16798732171156894,0,0
1702,1044,1246,0.21758008003234863,0,0,856,856,636,636,0,0,783,783,0,0,730,730,0,0,0,0.16705607476635514,0,0.16666666666666666,0,0,0.47,0.47126436781609193,0,0,0,0.16712328767123288
1703,1148,1374,0.30770277976989746,0,0,826,826,711,711,1090,1090,0,0,0,0,803,803,0,0,0,0.16707021791767554,0,0.16736990154711673,0.94,0.9403669724770642,0,0,0,0,0.94,0.9402241594022416
1704,1239,1261,0.3420069217681885,0,0,0,0,1189,1189,607,607,1189,1189,86,86,954,954,0,0,0,0,0,0.16736753574432295,0,0.16803953871499178,0.87,0.8704793944491169,0.98,0.9883720930232558,0,0.16666666666666666
1705,1293,1116,0.28269410133361816,1241,1241,0,0,659,659,452,452,0,0,982,982,0,0,0,0.16680096696212732,0,0,0,0.1669195751138088,0.69,0.6902654867256637,0,0,0.93,0.9307535641547862,0,0
1706,1458,1040,0.30609703063964844,991,991,0,0,962,962,0,0,0,0,0,0,0,0,0,0.16750756811301715,0,0,0.22,0.2203742203742204,0,0,0,0,0,0,0,0
1707,1085,1006,0.2063591480255127,911,911,1009,1009,477,477,0,0,0,0,0,0,0,0,0,0.1668496158068057,0.98,0.9801783944499505,0,0.16771488469601678,0,0,0,0,0,0,0,0
1708,1299,1019,0.26431846618652344,285,285,844,844,1039,1039,493,493,168,168,0,0,0,0,0.91,0.9122807017543859,0,0.1670616113744076,0,0.16746871992300288,0,0.16835699797160245,0.97,0.9702380952380952,0,0,0,0
1709,1180,1362,0.2109968662261963,0,0,1062,1062,0,0,0,0,790,790,778,778,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.72,0.720253164556962,0,0.16709511568123395,0,0
1710,1185,1086,0.3777139186859131,971,971,793,793,948,948,0,0,0,0,0,0,1054,1054,0.97,0.9701338825952626,0.97,0.9709962168978562,0,0.16666666666666666,0,0,0,0,0,0,0,0.16698292220113853
1711,1030,1154,0.12406253814697266,195,195,0,0,0,0,741,741,0,0,319,319,0,0,0,0.16923076923076924,0,0,0,0,0.66,0.6612685560053981,0,0,0,0.16927899686520376,0,0
1712,1308,1337,0.2680079936981201,745,745,837,837,0,0,1229,1229,0,0,0,0,0,0,0,0.16778523489932887,0,0.16726403823178015,0,0,0.98,0.9804719283970708,0,0,0,0,0,0
1713,1057,1455,0.10382437705993652,0,0,1057,1057,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9006622516556292,0,0,0,0,0,0,0,0,0,0
1714,1469,1156,0.2535746097564697,1145,1145,0,0,0,0,0,0,0,0,1366,1366,0,0,0,0.16681222707423582,0,0,0,0,0,0,0,0,0.95,0.9502196193265008,0,0
1715,1063,1306,0.10461688041687012,1063,1063,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.9604891815616181,0,0,0,0,0,0,0,0,0,0,0,0
1716,1398,1166,0.5001497268676758,1062,1062,489,489,685,685,0,0,1286,1286,0,0,1048,1048,0,0.16666666666666666,0,0.16768916155419222,0.45,0.4510948905109489,0,0,0,0.1671850699844479,0,0,0,0.16698473282442747
1717,1175,1486,0.20992445945739746,669,669,0,0,0,0,0,0,669,669,998,998,0,0,0,0.16741405082212257,0,0,0,0,0,0,0.4,0.40059790732436473,0,0.16733466933867736,0,0
1718,1253,1183,0.1381847858428955,200,200,0,0,0,0,0,0,1052,1052,0,0,0,0,0,0.17,0,0,0,0,0,0,0.29,0.2908745247148289,0,0,0,0
1719,1350,1115,0.434006929397583,1161,1161,0,0,1296,1296,0,0,1093,1093,823,823,0,0,0,0.16709732988802756,0,0,0.5,0.5,0,0,0,0.16742909423604757,0.5,0.5006075334143378,0,0
1720,1345,1098,0.3841664791107178,1049,1049,1008,1008,0,0,1062,1062,564,564,766,766,0,0,0,0.16682554814108674,0,0.16666666666666666,0,0,0.97,0.9708097928436912,0,0.16666666666666666,0,0.1671018276762402,0,0
1721,1441,1363,0.3696177005767822,0,0,1210,1210,893,893,0,0,0,0,172,172,1426,1426,0,0,0.99,0.9900826446280991,0,0.16685330347144456,0,0,0,0,0,0.1686046511627907,0,0.16690042075736325
1722,1458,1285,0.5231213569641113,1355,1355,1078,1078,1370,1370,87,87,0,0,1195,1195,0,0,0.71,0.7107011070110701,0.88,0.8803339517625232,0.82,0.8204379562043795,0.85,0.8505747126436781,0,0,0.86,0.8602510460251046,0,0
1723,1437,1172,0.5468466281890869,1437,1437,1379,1379,0,0,1005,1005,862,862,1336,1336,0,0,0.97,0.9700765483646486,0,0.16678752719361856,0,0,0.95,0.9502487562189055,0,0.16705336426914152,0,0.16691616766467066,0,0
1724,1420,1449,0.5201256275177002,411,411,1405,1405,1377,1377,142,142,0,0,1050,1050,1320,1320,0.89,0.8905109489051095,0.65,0.6505338078291815,0.34,0.3405954974582426,0.56,0.5633802816901409,0,0,0.8,0.8,0,0.16666666666666666
1725,1081,1099,0.12606334686279297,194,194,0,0,0,0,886,886,0,0,0,0,0,0,0.89,0.8917525773195877,0,0,0,0,0,0.1670428893905192,0,0,0,0,0,0
1726,1350,1343,0.23934149742126465,0,0,0,0,0,0,634,634,1215,1215,756,756,0,0,0,0,0,0,0,0,0.95,0.9511041009463722,0,0.16707818930041152,0.53,0.5304232804232805,0,0
1727,1189,1221,0.1110072135925293,0,0,0,0,0,0,0,0,0,0,1189,1189,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.9100084104289319,0,0
1728,1045,1304,0.24200057983398438,0,0,616,616,909,909,846,846,982,982,0,0,0,0,0,0,0,0.1672077922077922,0,0.16721672167216722,0,0.16666666666666666,0.71,0.7107942973523421,0,0,0,0
1729,1135,1249,0.153059720993042,0,0,0,0,1078,1078,0,0,0,0,0,0,147,147,0,0,0,0,0.84,0.8404452690166976,0,0,0,0,0,0,0.92,0.9251700680272109
1730,1424,1054,0.33471202850341797,142,142,0,0,1224,1224,0,0,768,768,1324,1324,0,0,0,0.16901408450704225,0,0,0.93,0.9305555555555556,0,0,0.95,0.9505208333333334,0,0.16691842900302115,0,0
1731,1486,1345,0.1701197624206543,0,0,0,0,0,0,0,0,0,0,0,0,1486,1486,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.22005383580080753
