run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
677,1447,1160,0.09199285507202148,0,0,0,0,0,0,0,0,1113,1114,0,0,1360,1360,0,0,0,0,0,0,0,0,0,0.16801437556154536,0,0,0.72,0.7220588235294118
678,1477,1313,0.0830073356628418,0,0,635,635,0,0,0,0,0,0,0,0,1107,1107,0,0,0.81,0.8125984251968504,0,0,0,0,0,0,0,0,0,0.16711833785004518
679,1206,1192,0.07271051406860352,0,0,0,0,0,0,626,627,1206,1206,989,988,0,0,0,0,0,0,0,0,0.97,0.9760383386581469,0,0.16998341625207297,0,0.1678463094034378,0,0
680,1304,1062,0.05306744575500488,0,0,0,0,0,0,0,0,0,0,1304,1304,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8811349693251533,0,0
681,1484,1447,0.11602139472961426,1290,1291,0,0,1290,1291,0,0,638,638,1350,1350,0,0,0,0.16744186046511628,0,0,0,0.16744186046511628,0,0,0.71,0.713166144200627,0,0.1674074074074074,0,0
682,1453,1175,0.05808758735656738,0,0,0,0,0,0,0,0,1453,1453,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.9827942188575362,0,0,0,0
683,1105,1452,0.06650972366333008,0,0,0,0,0,0,342,342,0,0,0,0,906,906,0,0,0,0,0,0,0,0.17543859649122806,0,0,0,0,0.76,0.7626931567328918
684,1486,1403,0.09461498260498047,1411,1411,0,0,1248,1248,520,520,0,0,0,0,0,0,0.86,0.8618001417434443,0,0,0,0.16826923076923078,0,0.17307692307692307,0,0,0,0,0,0
685,1263,1184,0.07407164573669434,0,0,593,593,1187,1187,0,0,618,618,0,0,0,0,0,0,0.86,0.8650927487352446,0.98,0.983150800336984,0,0,0,0.16990291262135923,0,0,0,0
686,1148,1381,0.06743383407592773,631,631,0,0,0,0,0,0,528,528,598,596,0,0,0.67,0.6751188589540412,0,0,0,0,0,0,0,0.17045454545454544,0,0.16722408026755853,0,0
687,1389,1053,0.08114457130432129,0,0,0,0,0,0,0,0,0,0,1139,1138,555,555,0,0,0,0,0,0,0,0,0,0,0,0.16681299385425813,0.41,0.4144144144144144
688,1011,1238,0.046599388122558594,0,0,0,0,0,0,0,0,0,0,1011,1011,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5835806132542037,0,0
689,1348,1056,0.07400202751159668,0,0,0,0,0,0,0,0,0,0,0,0,1348,1348,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.8405044510385756
690,1280,1213,0.08884572982788086,0,0,268,268,665,665,1215,1216,0,0,1241,1241,0,0,0,0,0.75,0.7574626865671642,0.8,0.8045112781954887,0,0.16872427983539096,0,0,0.87,0.871071716357776,0,0
691,1278,1211,0.08045506477355957,0,0,0,0,830,830,0,0,0,0,0,0,1073,1073,0,0,0,0,0,0.1686746987951807,0,0,0,0,0,0,0.9,0.902143522833178
692,1455,1357,0.11380767822265625,1411,1411,0,0,552,552,1411,1411,0,0,1251,1251,0,0,0.98,0.9822820694542878,0,0,0,0.1721014492753623,0,0.16725726435152374,0,0,0.55,0.5523581135091926,0,0
693,1215,1233,0.12703347206115723,801,801,1105,1105,1166,1166,595,595,692,692,886,886,583,583,0,0.16853932584269662,0,0.167420814479638,0.56,0.5626072041166381,0.91,0.9159663865546218,0.72,0.7254335260115607,0.91,0.9142212189616253,0,0.17152658662092624
694,1446,1111,0.0630331039428711,0,0,1446,1446,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27316735822959887,0,0,0,0,0,0,0,0,0,0
695,1193,1073,0.060021400451660156,0,0,0,0,0,0,1193,1193,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.9413243922883487,0,0,0,0,0,0
696,1438,1197,0.08566141128540039,1093,1092,187,186,0,0,963,963,0,0,0,0,0,0,0,0.16925892040256177,0,0.18716577540106952,0,0,0.72,0.7217030114226376,0,0,0,0,0,0
697,1350,1268,0.06037187576293945,0,0,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.8629629629629629,0,0,0,0,0,0,0,0,0,0
